date,region,sku,units,unit_price_usd
2026-02-01,north,THB-300,26,10.38
2026-02-01,north,"KIT, DELUXE 12PC",22,153.73
2026-02-01,north,BRK-990,40,6.42
2026-02-01,north,CBL-220,7,147.19
2026-02-01,north,GAD-075,31,31.86
2026-02-01,north,CBL-220,5,75.42
2026-02-01,north,THB-300,38,178.73
2026-02-01,north,THB-300,11,64.30
2026-02-01,north,"CABLE PACK, 3M/5M",19,104.17
2026-02-02,north,THB-300,15,174.27
2026-02-02,north,CBL-220,24,23.65
2026-02-02,north,"CABLE PACK, 3M/5M",30,230.06
2026-02-02,north,WGT-200,8,207.67
2026-02-02,north,CBL-220,30,159.86
2026-02-02,north,SPR-410,22,53.87
2026-02-02,north,WGT-100,26,69.42
2026-02-02,north,GAD-075,18,216.21
2026-02-02,north,WGT-200,30,142.11
2026-02-02,north,SPR-410,33,55.34
2026-02-03,north,GAD-050,31,212.98
2026-02-03,north,BRK-990,14,66.21
2026-02-03,north,SPR-410,1,93.57
2026-02-03,north,WGT-100,3,214.14
2026-02-04,north,GAD-075,6,6.88
2026-02-04,north,SPR-410,6,64.41
2026-02-04,north,WGT-100,29,222.20
2026-02-04,north,GAD-075,7,202.95
2026-02-04,north,CBL-220,33,193.05
2026-02-04,north,THB-300,31,183.25
2026-02-04,north,CBL-220,39,246.17
2026-02-05,north,CBL-220,4,221.95
2026-02-05,north,BRK-990,13,178.98
2026-02-06,north,WGT-200,25,161.65
2026-02-06,north,GAD-075,9,143.05
2026-02-06,north,CBL-220,36,65.13
2026-02-06,north,CBL-220,23,199.72
2026-02-07,north,WGT-200,17,201.07
2026-02-07,north,GAD-075,39,36.24
2026-02-07,north,CBL-220,27,141.74
2026-02-07,north,"BUNDLE, STARTER (A,B)",15,245.92
2026-02-07,north,THB-300,11,95.49
2026-02-08,north,THB-300,35,217.78
2026-02-08,north,WGT-100,18,57.73
2026-02-08,north,THB-300,7,201.45
2026-02-08,north,"KIT, DELUXE 12PC",9,72.92
2026-02-08,north,CBL-220,20,165.78
2026-02-09,north,SPR-410,26,210.63
2026-02-09,north,"TOOL SET, ""PRO"", V2",17,183.20
2026-02-09,north,SPR-410,29,53.16
2026-02-09,north,SPR-410,36,232.05
2026-02-09,north,WGT-100,3,143.90
2026-02-10,north,BRK-990,14,2.70
2026-02-10,north,WGT-100,27,239.93
2026-02-10,north,WGT-100,32,214.81
2026-02-10,north,SPR-410,26,95.68
2026-02-10,north,GAD-050,37,223.11
2026-02-10,north,GAD-075,12,28.34
2026-02-10,north,GAD-075,8,182.40
2026-02-10,north,"TOOL SET, ""PRO"", V2",8,47.02
2026-02-10,north,GAD-050,13,112.85
2026-02-10,north,"BUNDLE, STARTER (A,B)",14,40.16
2026-02-10,north,CBL-220,40,118.07
2026-02-10,north,"TOOL SET, ""PRO"", V2",9,18.99
2026-02-10,north,WGT-100,1,231.13
2026-02-11,north,GAD-075,34,198.21
2026-02-11,north,WGT-100,36,211.55
2026-02-11,north,WGT-100,20,109.77
2026-02-11,north,GAD-050,39,76.36
2026-02-11,north,GAD-075,38,222.84
2026-02-11,north,SPR-410,20,143.02
2026-02-12,north,THB-300,13,96.16
2026-02-12,north,SPR-410,19,224.34
2026-02-12,north,WGT-200,6,202.67
2026-02-12,north,SPR-410,9,25.30
2026-02-12,north,WGT-100,21,69.75
2026-02-12,north,CBL-220,18,175.80
2026-02-12,north,THB-300,31,3.38
2026-02-13,north,WGT-100,29,43.82
2026-02-13,north,BRK-990,1,132.35
2026-02-13,north,GAD-050,14,49.38
2026-02-13,north,CBL-220,15,72.52
2026-02-13,north,WGT-200,37,69.08
2026-02-13,north,WGT-200,22,22.35
2026-02-13,north,WGT-200,32,187.83
2026-02-13,north,WGT-200,37,180.38
2026-02-13,north,GAD-075,1,191.04
2026-02-13,north,GAD-050,21,92.64
2026-02-13,north,BRK-990,10,74.19
2026-02-13,north,"BUNDLE, STARTER (A,B)",11,231.06
2026-02-14,north,CBL-220,16,107.84
