date,region,sku,units,unit_price_usd
2026-03-01,north,THB-300,22,39.10
2026-03-01,north,WGT-200,32,202.19
2026-03-01,north,WGT-100,37,61.97
2026-03-01,north,"BUNDLE, STARTER (A,B)",16,135.37
2026-03-01,north,SPR-410,39,30.69
2026-03-02,north,"BUNDLE, STARTER (A,B)",29,49.36
2026-03-02,north,WGT-100,13,213.66
2026-03-02,north,WGT-100,34,107.19
2026-03-02,north,WGT-200,23,224.71
2026-03-02,north,WGT-100,38,94.83
2026-03-02,north,WGT-200,35,39.41
2026-03-03,north,"TOOL SET, ""PRO"", V2",17,12.87
2026-03-04,north,CBL-220,1,221.88
2026-03-04,north,CBL-220,35,108.33
2026-03-04,north,CBL-220,14,82.56
2026-03-04,north,GAD-050,8,102.21
2026-03-04,north,CBL-220,29,248.49
2026-03-04,north,WGT-200,28,50.90
2026-03-04,north,WGT-100,27,158.37
2026-03-04,north,GAD-075,10,111.16
2026-03-04,north,BRK-990,30,233.76
2026-03-05,north,BRK-990,33,5.52
2026-03-05,north,GAD-050,2,190.96
2026-03-05,north,GAD-050,8,38.09
2026-03-06,north,GAD-050,40,182.65
2026-03-06,north,WGT-100,25,237.85
2026-03-06,north,WGT-100,31,121.56
2026-03-06,north,GAD-050,39,48.74
2026-03-06,north,WGT-200,3,110.73
2026-03-07,north,BRK-990,35,61.97
2026-03-07,north,SPR-410,6,114.32
2026-03-07,north,CBL-220,38,162.14
2026-03-07,north,WGT-100,39,22.88
2026-03-07,north,CBL-220,33,207.24
2026-03-07,north,SPR-410,16,134.28
2026-03-07,north,GAD-075,29,75.02
2026-03-07,north,WGT-100,12,212.90
2026-03-08,north,THB-300,7,107.66
2026-03-08,north,BRK-990,23,111.55
2026-03-08,north,GAD-050,37,85.02
2026-03-08,north,WGT-100,4,231.89
2026-03-08,north,WGT-100,21,11.00
2026-03-08,north,WGT-100,27,6.02
2026-03-09,north,GAD-050,13,222.60
2026-03-09,north,"TOOL SET, ""PRO"", V2",5,3.03
2026-03-09,north,GAD-075,13,164.12
2026-03-09,north,WGT-200,8,147.76
2026-03-09,north,WGT-200,22,226.72
2026-03-09,north,SPR-410,33,100.69
2026-03-10,north,SPR-410,22,164.35
2026-03-10,north,"TOOL SET, ""PRO"", V2",11,224.23
2026-03-10,north,SPR-410,36,64.17
2026-03-10,north,SPR-410,6,243.05
2026-03-10,north,WGT-100,18,228.28
2026-03-10,north,SPR-410,24,247.31
2026-03-10,north,SPR-410,28,180.88
2026-03-10,north,SPR-410,13,4.58
