A1	473
B1	-74
C1	-358
D1	-313
E1	-326
F1	8
G1	-352
H1	141
I1	313
J1	-270
K1	#CYCLE!
A2	284
B2	-270
C2	-217
D2	-410
E2	-240
F2	476
G2	276
H2	-61
I2	-204
J2	-331
K2	#CYCLE!
A3	376
B3	393
C3	757
D3	-197
E3	-352
F3	127
G3	219
H3	429
I3	-135
J3	39
K3	#CYCLE!
A4	-85
B4	323
C4	486
D4	-196
E4	17
F4	-359
G4	403
H4	35
I4	-23973
J4	449
K4	#CYCLE!
A5	-358
B5	-400
C5	-9013848
D5	226
E5	-309
F5	26
G5	-77
H5	-500
I5	-237
J5	-1
K5	33
A6	-132
B6	110931
C6	-322
D6	-8500
E6	369
F6	245
G6	-391
H6	39
I6	-428
J6	315
K6	44
A7	398
B7	-150
C7	-85
D7	0
E7	435
F7	-295
G7	98
H7	-224
I7	-2
J7	-12
K7	#REF!
A8	-387
B8	306
C8	4
D8	-355
E8	7
F8	-12
G8	0
H8	0
I8	70
J8	-352
K8	#CYCLE!
A9	-463
B9	-25
C9	137
D9	-134
E9	#DIV/0!
F9	-267
G9	-40
H9	-224
I9	444
J9	-184
K9	8
A10	-409
B10	292
C10	#DIV/0!
D10	-480
E10	269
F10	-1852
G10	19
H10	-49
I10	-435
J10	-346
A11	414
B11	-342
C11	#DIV/0!
D11	225
E11	-127
F11	-411
G11	315
H11	-55
I11	-79
J11	-157
A12	-488
B12	93
C12	397
D12	6
E12	-6
F12	#DIV/0!
G12	-328
H12	140
I12	-322
J12	-146
A13	-121
B13	232
C13	-420
D13	379
E13	-69
F13	-57540
G13	0
H13	335
I13	-297
J13	-482
A14	-69
B14	3
C14	-1
D14	258
E14	-153
F14	-342
G14	-136
H14	51
I14	-115
J14	115
A15	5
B15	-36
C15	86430
D15	-352
E15	51
F15	-470
G15	-397
H15	-444
I15	105
J15	4
A16	-125
B16	-445
C16	73
D16	477
E16	-533
F16	187
G16	-151
H16	397
I16	368
J16	335
A17	319
B17	2
C17	-256
D17	935
E17	444
F17	-129
G17	302
H17	-1
I17	441
J17	0
A18	-152
B18	0
C18	-125
D18	-452
E18	-443
F18	-38
G18	-358
H18	0
I18	-158
J18	1
A19	1245
B19	-69
C19	-884
D19	-152
E19	-368
F19	435
G19	395
H19	-432
I19	-79
J19	58308
A20	277
B20	110
C20	198
D20	-165
E20	-348
F20	-226
G20	272
H20	-328
I20	213
J20	-10
A21	157
B21	370
C21	489
D21	69
E21	193
F21	144
G21	277
H21	2
I21	461
J21	-385
A22	65
B22	35
C22	204
D22	433
E22	24
F22	38
G22	416
H22	-275
I22	-131
J22	-358
A23	185
B23	496
C23	481
D23	148
E23	-226
F23	-358
G23	57556
H23	448
I23	-432
J23	-124
A24	16
B24	352
C24	-355
D24	-96
E24	0
F24	213
G24	7
H24	333
I24	397
J24	384
A25	-423
B25	52
C25	-238
D25	-481
E25	258
F25	-414
G25	0
H25	19166148
I25	425
J25	-241
A26	-300
B26	19166148
C26	-367
D26	416
E26	-15
F26	-179
G26	-390
H26	-1
I26	322
J26	-498
A27	#DIV/0!
B27	290
C27	0
D27	-424
E27	481
F27	-15
G27	19166571
H27	38332296
I27	405
J27	218
A28	24
B28	-145
C28	-72
D28	423
E28	-8
F28	218
G28	12
H28	348
I28	367
J28	408
A29	-422
B29	434
C29	-177
D29	218
E29	-162
F29	75
G29	218
H29	130
I29	279
J29	#DIV/0!
A30	6
B30	-329
C30	-66096
D30	#DIV/0!
E30	-33
F30	5232
G30	#DIV/0!
H30	1373
I30	-181
J30	0
A31	-481
B31	288
C31	-135
D31	1550
E31	389
F31	5394
G31	-33
H31	-361
I31	-423
J31	130
A32	-2516592
B32	389
C32	#DIV/0!
D32	#DIV/0!
E32	21
F32	1879
G32	6
H32	2035248
I32	#DIV/0!
J32	272
A33	#DIV/0!
B33	-491
C33	-46
D33	-194
E33	453
F33	#DIV/0!
G33	454
H33	466
