date,region,sku,units,unit_price_usd
2026-03-01,south,THB-300,36,69.92
2026-03-02,south,SPR-410,30,64.65
2026-03-02,south,CBL-220,26,135.33
2026-03-02,south,WGT-100,4,80.88
2026-03-02,south,BRK-990,14,219.19
2026-03-03,south,GAD-075,21,49.63
2026-03-03,south,THB-300,31,131.56
2026-03-03,south,"CABLE PACK, 3M/5M",25,104.65
2026-03-03,south,"KIT, DELUXE 12PC",3,36.75
2026-03-04,south,"CABLE PACK, 3M/5M",17,48.81
2026-03-04,south,GAD-075,34,71.98
2026-03-04,south,"BUNDLE, STARTER (A,B)",35,171.04
2026-03-04,south,CBL-220,30,125.02
2026-03-04,south,THB-300,20,232.17
2026-03-04,south,"BUNDLE, STARTER (A,B)",16,179.30
2026-03-04,south,GAD-050,19,148.74
2026-03-04,south,GAD-050,24,226.66
2026-03-04,south,THB-300,27,62.05
2026-03-04,south,"KIT, DELUXE 12PC",20,141.82
2026-03-05,south,BRK-990,35,135.81
2026-03-05,south,BRK-990,8,234.58
2026-03-05,south,GAD-050,6,62.43
2026-03-05,south,CBL-220,17,139.44
2026-03-05,south,CBL-220,15,219.80
2026-03-05,south,GAD-050,22,77.28
2026-03-05,south,WGT-200,30,222.81
2026-03-05,south,GAD-075,16,201.94
2026-03-05,south,THB-300,18,15.39
2026-03-06,south,WGT-100,29,148.39
2026-03-06,south,CBL-220,17,181.67
2026-03-06,south,"KIT, DELUXE 12PC",24,35.88
2026-03-06,south,SPR-410,20,110.75
2026-03-06,south,WGT-100,17,27.90
2026-03-06,south,THB-300,6,40.57
2026-03-06,south,"CABLE PACK, 3M/5M",15,247.86
2026-03-06,south,GAD-075,35,50.95
2026-03-06,south,GAD-050,32,158.42
2026-03-06,south,THB-300,32,36.60
2026-03-07,south,THB-300,4,24.57
2026-03-07,south,GAD-050,24,92.00
2026-03-07,south,THB-300,21,29.74
2026-03-07,south,WGT-100,27,24.05
2026-03-07,south,THB-300,39,145.24
2026-03-07,south,THB-300,15,35.49
2026-03-08,south,BRK-990,22,32.83
2026-03-08,south,GAD-050,25,236.94
2026-03-08,south,SPR-410,5,235.54
2026-03-08,south,SPR-410,36,247.07
2026-03-08,south,THB-300,29,103.94
2026-03-08,south,SPR-410,19,195.97
2026-03-09,south,"KIT, DELUXE 12PC",13,234.56
2026-03-09,south,GAD-050,19,201.37
2026-03-09,south,WGT-100,29,89.77
2026-03-09,south,BRK-990,24,6.96
2026-03-09,south,BRK-990,3,54.17
2026-03-10,south,CBL-220,40,213.15
2026-03-10,south,GAD-050,24,118.53
2026-03-10,south,"CABLE PACK, 3M/5M",13,78.63
2026-03-10,south,"CABLE PACK, 3M/5M",34,139.90
2026-03-10,south,WGT-200,21,89.79
2026-03-10,south,CBL-220,38,43.31
2026-03-10,south,"CABLE PACK, 3M/5M",21,238.39
2026-03-11,south,GAD-050,12,5.83
2026-03-11,south,CBL-220,26,46.72
2026-03-11,south,CBL-220,40,47.13
2026-03-11,south,"TOOL SET, ""PRO"", V2",21,230.25
2026-03-11,south,GAD-075,15,55.11
2026-03-12,south,WGT-200,20,35.04
2026-03-12,south,"TOOL SET, ""PRO"", V2",18,146.30
2026-03-12,south,WGT-100,26,48.46
2026-03-12,south,BRK-990,31,198.34
2026-03-12,south,GAD-075,2,15.13
2026-03-12,south,GAD-075,29,130.10
2026-03-12,south,"KIT, DELUXE 12PC",10,83.02
2026-03-12,south,GAD-075,30,20.69
2026-03-12,south,BRK-990,5,82.98
2026-03-12,south,SPR-410,3,174.58
2026-03-13,south,SPR-410,12,39.61
2026-03-13,south,THB-300,10,25.21
2026-03-13,south,WGT-100,3,141.34
2026-03-14,south,"TOOL SET, ""PRO"", V2",39,243.88
2026-03-14,south,WGT-100,38,126.56
2026-03-14,south,WGT-200,5,227.61
2026-03-14,south,WGT-200,32,141.12
2026-03-14,south,WGT-100,34,248.17
2026-03-14,south,BRK-990,30,114.30
2026-03-14,south,CBL-220,29,49.26
2026-03-14,south,GAD-075,19,55.95
2026-03-14,south,CBL-220,6,167.78
2026-03-14,south,THB-300,31,88.12
2026-03-15,south,WGT-200,16,99.98
2026-03-15,south,THB-300,33,84.77
2026-03-15,south,GAD-075,28,7.19
2026-03-15,south,GAD-050,3,82.25
2026-03-15,south,GAD-050,33,202.29
2026-03-15,south,CBL-220,23,127.89
2026-03-15,south,GAD-050,39,67.05
2026-03-15,south,BRK-990,29,207.13
2026-03-15,south,BRK-990,39,237.54
2026-03-16,south,GAD-050,33,12.57
2026-03-16,south,GAD-075,40,183.05
2026-03-16,south,GAD-075,1,162.18
2026-03-16,south,"BUNDLE, STARTER (A,B)",6,167.14
2026-03-16,south,BRK-990,15,38.66
2026-03-16,south,GAD-050,34,75.91
2026-03-16,south,WGT-100,33,218.18
2026-03-16,south,GAD-075,9,247.73
2026-03-16,south,GAD-075,3,245.87
2026-03-17,south,THB-300,31,73.98
2026-03-17,south,BRK-990,35,113.41
2026-03-17,south,SPR-410,35,200.99
2026-03-17,south,WGT-200,6,217.09
2026-03-17,south,CBL-220,7,233.63
2026-03-18,south,GAD-075,28,218.28
2026-03-18,south,WGT-100,5,192.73
2026-03-18,south,"CABLE PACK, 3M/5M",25,169.01
2026-03-18,south,GAD-075,12,196.27
2026-03-18,south,BRK-990,9,132.46
2026-03-19,south,CBL-220,33,21.97
2026-03-19,south,CBL-220,15,88.23
2026-03-19,south,GAD-075,24,155.05
2026-03-19,south,CBL-220,11,180.70
2026-03-19,south,GAD-050,16,225.16
2026-03-20,south,GAD-050,7,223.30
2026-03-20,south,"KIT, DELUXE 12PC",24,2.09
2026-03-20,south,GAD-075,14,114.79
2026-03-20,south,BRK-990,10,18.90
2026-03-21,south,BRK-990,6,242.22
2026-03-21,south,SPR-410,14,227.60
2026-03-21,south,GAD-075,21,189.31
2026-03-21,south,THB-300,13,238.54
2026-03-21,south,"KIT, DELUXE 12PC",5,220.59
2026-03-21,south,GAD-075,38,246.17
2026-03-22,south,"KIT, DELUXE 12PC",4,24.35
2026-03-22,south,"BUNDLE, STARTER (A,B)",19,124.13
2026-03-22,south,"TOOL SET, ""PRO"", V2",20,42.36
2026-03-22,south,SPR-410,9,37.15
2026-03-23,south,THB-300,1,125.61
2026-03-23,south,BRK-990,4,194.41
2026-03-23,south,GAD-050,20,247.33
2026-03-24,south,GAD-050,12,86.80
2026-03-24,south,GAD-075,7,84.54
2026-03-24,south,GAD-050,18,105.17
2026-03-24,south,GAD-075,21,29.59
2026-03-24,south,"TOOL SET, ""PRO"", V2",27,11.56
2026-03-24,south,GAD-050,29,17.18
2026-03-24,south,WGT-200,20,215.73
2026-03-25,south,WGT-100,4,5.04
2026-03-25,south,"BUNDLE, STARTER (A,B)",2,101.99
2026-03-25,south,THB-300,18,115.27
2026-03-25,south,SPR-410,26,213.14
2026-03-26,south,WGT-200,35,224.72
2026-03-26,south,GAD-050,32,83.46
2026-03-26,south,WGT-200,6,110.38
2026-03-26,south,SPR-410,18,82.18
2026-03-26,south,CBL-220,39,143.63
2026-03-26,south,WGT-100,10,172.15
2026-03-26,south,GAD-075,20,167.69
2026-03-27,south,GAD-050,16,229.14
2026-03-27,south,"BUNDLE, STARTER (A,B)",39,37.98
2026-03-27,south,SPR-410,31,30.64
2026-03-28,south,GAD-050,33,145.99
2026-03-28,south,WGT-100,12,123.74
2026-03-28,south,"KIT, DELUXE 12PC",3,51.61
2026-03-28,south,"CABLE PACK, 3M/5M",21,123.48
2026-03-28,south,CBL-220,17,135.07
2026-03-28,south,BRK-990,20,42.97
2026-03-28,south,SPR-410,10,218.97
2026-03-28,south,WGT-200,25,24.38
2026-03-28,south,GAD-075,7,59.03
2026-03-28,south,WGT-100,8,55.12
2026-03-29,south,"BUNDLE, STARTER (A,B)",9,96.42
2026-03-29,south,CBL-220,19,41.22
2026-03-29,south,THB-300,39,47.33
2026-03-29,south,BRK-990,11,131.04
2026-03-29,south,"TOOL SET, ""PRO"", V2",9,8.16
2026-03-29,south,CBL-220,11,228.68
2026-03-30,south,SPR-410,13,153.03
2026-03-30,south,BRK-990,21,203.82
2026-03-30,south,WGT-100,11,33.51
2026-03-30,south,CBL-220,17,165.56
2026-03-30,south,GAD-075,18,34.52
2026-03-30,south,GAD-075,22,180.73
2026-03-30,south,GAD-050,34,152.59
2026-03-30,south,WGT-200,25,96.27
2026-03-31,south,SPR-410,33,205.78
2026-03-31,south,GAD-050,32,22.91
2026-03-31,south,BRK-990,21,67.39
2026-03-31,south,WGT-100,20,205.95
2026-03-31,south,WGT-100,12,184.92
2026-03-31,south,WGT-100,19,110.45
