date,region,sku,units,unit_price_usd
2026-01-01,south,GAD-050,3,20.89
2026-01-01,south,THB-300,23,177.33
2026-01-01,south,"KIT, DELUXE 12PC",20,68.28
2026-01-01,south,SPR-410,28,141.88
2026-01-01,south,SPR-410,6,43.42
2026-01-01,south,SPR-410,21,135.79
2026-01-02,south,"TOOL SET, ""PRO"", V2",12,29.10
2026-01-02,south,GAD-050,25,68.22
2026-01-02,south,SPR-410,19,93.13
2026-01-02,south,CBL-220,7,75.70
2026-01-02,south,SPR-410,24,152.43
2026-01-02,south,GAD-075,2,212.15
2026-01-02,south,GAD-050,17,195.67
2026-01-03,south,GAD-075,4,188.05
2026-01-03,south,SPR-410,14,248.20
2026-01-03,south,THB-300,40,35.43
2026-01-03,south,GAD-050,14,73.51
2026-01-03,south,SPR-410,35,232.52
2026-01-03,south,GAD-050,15,140.24
2026-01-03,south,WGT-200,19,208.47
2026-01-03,south,"CABLE PACK, 3M/5M",6,151.06
2026-01-03,south,CBL-220,24,142.91
2026-01-04,south,"CABLE PACK, 3M/5M",27,65.73
2026-01-04,south,"BUNDLE, STARTER (A,B)",5,65.91
2026-01-04,south,GAD-050,2,52.12
2026-01-04,south,"BUNDLE, STARTER (A,B)",26,9.55
2026-01-04,south,WGT-100,31,239.53
2026-01-04,south,"TOOL SET, ""PRO"", V2",38,91.55
2026-01-04,south,CBL-220,5,97.67
2026-01-04,south,"TOOL SET, ""PRO"", V2",33,147.25
2026-01-05,south,THB-300,12,98.75
2026-01-05,south,SPR-410,10,3.19
2026-01-05,south,GAD-050,34,153.17
2026-01-05,south,CBL-220,27,76.39
2026-01-05,south,GAD-075,20,66.04
2026-01-05,south,WGT-200,14,249.45
2026-01-05,south,WGT-100,33,12.41
2026-01-05,south,BRK-990,21,10.32
2026-01-06,south,SPR-410,10,219.01
2026-01-06,south,WGT-200,18,5.63
2026-01-06,south,WGT-200,5,172.97
2026-01-06,south,GAD-075,37,55.11
2026-01-06,south,THB-300,10,10.67
2026-01-06,south,"BUNDLE, STARTER (A,B)",25,101.24
2026-01-06,south,CBL-220,3,138.38
2026-01-06,south,CBL-220,4,31.49
2026-01-06,south,GAD-050,29,165.67
2026-01-07,south,THB-300,12,35.45
2026-01-07,south,GAD-050,9,20.51
2026-01-07,south,SPR-410,26,28.15
2026-01-07,south,GAD-050,32,162.49
2026-01-07,south,GAD-075,21,51.19
2026-01-07,south,WGT-100,21,18.51
2026-01-07,south,GAD-075,25,247.92
2026-01-07,south,THB-300,23,154.79
2026-01-08,south,THB-300,21,16.33
2026-01-08,south,SPR-410,30,236.15
2026-01-08,south,GAD-050,26,219.98
2026-01-08,south,"KIT, DELUXE 12PC",5,11.42
2026-01-08,south,GAD-075,6,115.63
2026-01-08,south,CBL-220,40,83.68
2026-01-09,south,GAD-075,9,49.53
2026-01-09,south,CBL-220,32,200.82
2026-01-09,south,"TOOL SET, ""PRO"", V2",34,112.97
2026-01-09,south,BRK-990,17,77.25
2026-01-09,south,THB-300,3,177.31
2026-01-09,south,THB-300,26,44.11
2026-01-09,south,WGT-200,6,234.69
2026-01-10,south,WGT-100,29,105.11
2026-01-10,south,GAD-075,6,53.61
2026-01-10,south,THB-300,4,212.19
2026-01-10,south,WGT-100,32,244.50
2026-01-10,south,WGT-100,9,108.08
2026-01-10,south,WGT-200,39,48.58
2026-01-10,south,THB-300,6,190.07
2026-01-10,south,BRK-990,9,208.89
2026-01-11,south,WGT-100,36,134.07
2026-01-11,south,THB-300,31,228.66
2026-01-11,south,SPR-410,17,14.23
2026-01-11,south,GAD-075,39,233.98
2026-01-11,south,WGT-200,1,57.78
2026-01-11,south,WGT-100,30,136.19
2026-01-11,south,WGT-100,19,15.82
2026-01-11,south,CBL-220,36,229.97
2026-01-12,south,CBL-220,11,107.21
2026-01-12,south,SPR-410,25,84.83
2026-01-12,south,CBL-220,15,22.63
2026-01-12,south,GAD-075,36,233.19
2026-01-12,south,"BUNDLE, STARTER (A,B)",32,67.54
2026-01-12,south,GAD-050,23,243.48
2026-01-12,south,BRK-990,22,101.07
2026-01-13,south,SPR-410,1,210.41
2026-01-13,south,BRK-990,24,246.01
2026-01-13,south,WGT-200,19,71.06
2026-01-13,south,THB-300,36,135.02
2026-01-13,south,"TOOL SET, ""PRO"", V2",35,75.44
2026-01-13,south,"KIT, DELUXE 12PC",28,222.84
2026-01-13,south,WGT-200,2,114.85
2026-01-13,south,WGT-100,3,249.09
2026-01-14,south,THB-300,21,167.45
2026-01-14,south,BRK-990,23,105.14
2026-01-14,south,GAD-075,12,67.12
2026-01-14,south,CBL-220,39,221.96
2026-01-14,south,CBL-220,4,111.75
2026-01-14,south,GAD-075,26,232.23
2026-01-14,south,THB-300,24,197.73
2026-01-14,south,CBL-220,25,75.85
2026-01-14,south,"TOOL SET, ""PRO"", V2",34,163.62
2026-01-14,south,BRK-990,19,170.43
2026-01-15,south,CBL-220,20,67.95
2026-01-15,south,"TOOL SET, ""PRO"", V2",34,151.60
2026-01-15,south,WGT-100,2,17.96
2026-01-15,south,"KIT, DELUXE 12PC",40,95.72
2026-01-15,south,"TOOL SET, ""PRO"", V2",5,97.93
2026-01-15,south,WGT-200,16,138.18
2026-01-15,south,WGT-200,15,63.83
2026-01-15,south,SPR-410,23,27.68
2026-01-15,south,GAD-075,15,166.16
2026-01-16,south,THB-300,25,72.36
2026-01-16,south,GAD-050,28,45.55
2026-01-16,south,WGT-200,5,68.97
2026-01-16,south,BRK-990,15,45.02
2026-01-16,south,THB-300,31,27.66
2026-01-16,south,WGT-100,35,52.26
2026-01-17,south,"CABLE PACK, 3M/5M",30,70.14
2026-01-17,south,CBL-220,34,114.98
2026-01-17,south,SPR-410,39,134.68
2026-01-17,south,"BUNDLE, STARTER (A,B)",32,152.74
2026-01-18,south,WGT-100,27,37.95
2026-01-18,south,WGT-100,17,198.44
2026-01-18,south,WGT-200,6,8.99
2026-01-18,south,GAD-050,36,162.20
2026-01-19,south,WGT-100,39,204.55
2026-01-19,south,WGT-100,1,79.03
2026-01-19,south,"TOOL SET, ""PRO"", V2",15,90.12
2026-01-19,south,"TOOL SET, ""PRO"", V2",10,44.90
2026-01-19,south,"TOOL SET, ""PRO"", V2",5,74.73
2026-01-19,south,CBL-220,23,164.25
2026-01-19,south,"CABLE PACK, 3M/5M",8,195.08
2026-01-19,south,WGT-200,10,192.27
2026-01-19,south,WGT-100,17,167.05
2026-01-20,south,CBL-220,5,31.37
2026-01-20,south,WGT-100,8,104.23
2026-01-20,south,CBL-220,30,215.28
2026-01-20,south,THB-300,25,47.49
2026-01-20,south,"CABLE PACK, 3M/5M",20,205.03
2026-01-20,south,"CABLE PACK, 3M/5M",9,111.60
2026-01-21,south,WGT-100,30,218.46
2026-01-21,south,GAD-050,40,167.42
2026-01-22,south,WGT-100,32,162.36
2026-01-22,south,"CABLE PACK, 3M/5M",8,10.02
2026-01-22,south,"CABLE PACK, 3M/5M",22,196.90
2026-01-22,south,WGT-100,7,208.14
2026-01-22,south,THB-300,33,117.68
2026-01-22,south,CBL-220,35,119.04
2026-01-23,south,WGT-100,13,36.12
2026-01-23,south,GAD-075,5,154.35
2026-01-23,south,GAD-050,24,76.27
2026-01-23,south,THB-300,13,57.13
2026-01-23,south,SPR-410,10,27.59
2026-01-24,south,WGT-200,17,56.65
2026-01-24,south,GAD-075,12,146.83
2026-01-24,south,SPR-410,32,209.53
2026-01-24,south,GAD-050,38,183.62
2026-01-24,south,GAD-050,16,199.05
2026-01-24,south,SPR-410,26,237.63
2026-01-24,south,"BUNDLE, STARTER (A,B)",30,51.76
2026-01-24,south,WGT-200,20,29.46
2026-01-25,south,SPR-410,10,79.57
2026-01-25,south,WGT-200,37,128.60
2026-01-25,south,CBL-220,11,248.23
2026-01-26,south,SPR-410,23,48.87
2026-01-26,south,WGT-200,7,173.10
2026-01-26,south,GAD-050,39,142.45
2026-01-26,south,WGT-100,17,137.37
2026-01-26,south,GAD-050,20,199.03
2026-01-26,south,BRK-990,39,180.88
2026-01-26,south,GAD-075,4,245.87
2026-01-26,south,GAD-075,12,38.95
2026-01-26,south,WGT-200,5,145.08
2026-01-27,south,SPR-410,12,95.08
2026-01-27,south,SPR-410,10,20.92
2026-01-27,south,"CABLE PACK, 3M/5M",10,216.06
2026-01-27,south,CBL-220,16,91.42
2026-01-27,south,"BUNDLE, STARTER (A,B)",24,121.00
2026-01-27,south,WGT-200,33,15.04
2026-01-28,south,GAD-075,22,118.29
2026-01-28,south,SPR-410,32,202.93
2026-01-28,south,GAD-075,29,126.12
2026-01-28,south,THB-300,18,68.47
2026-01-28,south,"KIT, DELUXE 12PC",11,60.96
2026-01-29,south,BRK-990,7,139.49
2026-01-29,south,BRK-990,39,92.24
2026-01-29,south,WGT-100,24,111.55
2026-01-29,south,GAD-050,1,224.32
2026-01-30,south,SPR-410,39,12.20
2026-01-30,south,BRK-990,13,88.36
2026-01-30,south,GAD-050,14,10.45
2026-01-30,south,GAD-075,38,119.34
2026-01-30,south,CBL-220,4,120.44
2026-01-30,south,CBL-220,9,223.67
2026-01-30,south,GAD-050,26,116.79
2026-01-30,south,BRK-990,6,30.03
2026-01-30,south,WGT-200,1,18.15
2026-01-30,south,THB-300,31,105.67
2026-01-31,south,WGT-200,12,170.48
2026-01-31,south,WGT-100,20,234.43
2026-01-31,south,SPR-410,33,80.10
2026-01-31,south,WGT-100,3,138.75
2026-01-31,south,"TOOL SET, ""PRO"", V2",20,35.23
2026-01-31,south,THB-300,16,119.47
